comuna,geocodigo,p01,vacante,cuenta,prop
13101,13101111011,2,0,742,0.953727506426735
13101,13101111011,2,1,36,0.0462724935732648
13101,13101111012,1,0,89,0.787610619469027
13101,13101111012,1,1,24,0.212389380530973
13101,13101111012,2,0,2129,0.909440410081162
13101,13101111012,2,1,212,0.0905595899188381
13101,13101111013,1,0,61,0.953125
13101,13101111013,1,1,3,0.046875
13101,13101111013,2,0,1633,0.981370192307692
13101,13101111013,2,1,31,0.0186298076923077
13101,13101111014,1,0,12,0.923076923076923
13101,13101111014,1,1,1,0.0769230769230769
13101,13101111014,2,0,914,0.969247083775186
13101,13101111014,2,1,29,0.0307529162248144
13101,13101111015,1,0,23,0.793103448275862
13101,13101111015,1,1,6,0.206896551724138
13101,13101111015,2,0,1493,0.966968911917098
13101,13101111015,2,1,51,0.0330310880829016
13101,13101111016,1,0,19,0.863636363636364
13101,13101111016,1,1,3,0.136363636363636
13101,13101111016,2,0,1305,0.983421250941974
13101,13101111016,2,1,22,0.0165787490580256
13101,13101111017,1,0,134,0.964028776978417
13101,13101111017,1,1,5,0.0359712230215827
13101,13101111017,2,0,791,0.969362745098039
13101,13101111017,2,1,25,0.0306372549019608
13101,13101111018,1,0,60,0.882352941176471
13101,13101111018,1,1,8,0.117647058823529
13101,13101111018,2,0,1332,0.974396488661302
13101,13101111018,2,1,35,0.0256035113386979
13101,13101111019,1,0,61,0.802631578947369
13101,13101111019,1,1,15,0.197368421052632
13101,13101111019,2,0,1282,0.97268588770865
13101,13101111019,2,1,36,0.0273141122913505
13101,13101121001,1,0,92,0.948453608247423
13101,13101121001,1,1,5,0.0515463917525773
13101,13101121001,2,0,953,0.917228103946102
13101,13101121001,2,1,86,0.082771896053898
13101,13101121002,1,0,25,0.961538461538461
13101,13101121002,1,1,1,0.0384615384615385
13101,13101121002,2,0,952,0.98043254376931
13101,13101121002,2,1,19,0.01956745623069
13101,13101121003,1,0,33,1
13101,13101121003,2,0,996,0.991044776119403
13101,13101121003,2,1,9,0.00895522388059702
13101,13101121004,1,0,92,0.766666666666667
13101,13101121004,1,1,28,0.233333333333333
13101,13101121004,2,0,2149,0.967582170193607
13101,13101121004,2,1,72,0.0324178298063935
13101,13101121005,1,0,187,0.968911917098446
13101,13101121005,1,1,6,0.0310880829015544
13101,13101121005,2,0,690,0.982905982905983
13101,13101121005,2,1,12,0.0170940170940171
13101,13101121006,1,0,56,0.888888888888889
13101,13101121006,1,1,7,0.111111111111111
13101,13101121006,2,0,1512,0.978007761966365
13101,13101121006,2,1,34,0.0219922380336352
13101,13101121007,1,0,168,0.923076923076923
13101,13101121007,1,1,14,0.0769230769230769
13101,13101121007,2,0,1258,0.970679012345679
13101,13101121007,2,1,38,0.029320987654321
13101,13101121008,1,0,49,0.816666666666667
13101,13101121008,1,1,11,0.183333333333333
13101,13101121008,2,0,2407,0.978455284552846
13101,13101121008,2,1,53,0.0215447154471545
13101,13101121009,1,0,41,0.931818181818182
13101,13101121009,1,1,3,0.0681818181818182
13101,13101121009,2,0,2453,0.987122736418511
13101,13101121009,2,1,32,0.0128772635814889
13101,13101131001,1,0,25,0.961538461538461
13101,13101131001,1,1,1,0.0384615384615385
13101,13101131001,2,0,1089,0.922881355932203
13101,13101131001,2,1,91,0.0771186440677966
13101,13101131002,1,0,21,0.75
13101,13101131002,1,1,7,0.25
13101,13101131002,2,0,1080,0.972972972972973
13101,13101131002,2,1,30,0.027027027027027
13101,13101131003,1,0,38,0.376237623762376
13101,13101131003,1,1,63,0.623762376237624
13101,13101131003,2,0,2040,0.9375
13101,13101131003,2,1,136,0.0625
13101,13101131004,1,0,36,0.923076923076923
13101,13101131004,1,1,3,0.0769230769230769
13101,13101131004,2,0,1327,0.979335793357934
13101,13101131004,2,1,28,0.0206642066420664
13101,13101131005,1,0,86,0.877551020408163
13101,13101131005,1,1,12,0.122448979591837
13101,13101131005,2,0,1473,0.973562458691342
13101,13101131005,2,1,40,0.0264375413086583
13101,13101131006,1,0,81,0.952941176470588
