id,geocodigo,codigo_comuna,p01,cuenta,prop,cuenta_emp,expansor,expansor2,theta,lambda
839888,13132011003,13132,2,78,0.094775212636695,41,1.90243902439024,1.90243902439024,44.96309314587,0.913776622184835
839896,13132011003,13132,2,78,0.094775212636695,41,1.90243902439024,1.90243902439024,44.96309314587,0.913776622184835
838878,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
652863,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
670232,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
670277,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
670278,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
682839,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
822059,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
825968,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
826825,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
826836,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
826999,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
827168,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
827262,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
827224,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
827665,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
828232,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
829579,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
830010,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
830011,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
830012,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
831377,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
831627,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
832191,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
832238,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
832449,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
832827,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
834304,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
834716,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
836434,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
836466,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
837127,13132021002,13132,2,69,0.0484550561797753,33,2.09090909090909,2.09090909090909,39.7750439367311,0.83384336882031
